tree,3,888,-620
tree,3,828,-750
tree,3,658,-770
tree,3,568,-640
tree,3,588,-900
tree,3,738,-930
tree,3,898,-900
tree,3,898,-1050
tree,3,808,-1140
tree,3,638,-1100
tree,3,508,-1090
tree,3,348,-1140
tree,3,218,-1050
tree,3,108,-1150
tree,3,128,-1280
tree,3,288,-1280
tree,3,408,-1400
tree,3,518,-1310
tree,3,678,-1300
tree,3,808,-1420
tree,3,708,-1540
tree,3,554,-1560
tree,3,398,-1568
tree,3,268,-1568
tree,3,122,-1462
tree,3,911,-1558
tree,2,-125,-1045
tree,2,-125,-1165
tree,2,-125,-1305
tree,2,-125,-1423
tree,2,-128,-1562
tree,3,-434,1002
tree,3,-364,862
tree,3,-464,722
tree,3,-374,582
tree,3,-434,432
tree,3,-404,292
tree,3,-384,142
tree,3,-454,-8
tree,3,-374,-158
tree,3,-474,-278
tree,3,-384,-408
tree,3,-454,-548
tree,3,-394,-698
tree,2,114,-1788
tree,2,114,-1920
tree,2,114,-2080
tree,2,114,-2210
tree,2,114,-2360
tree,1,1137,-1785
tree,1,1287,-1785
tree,1,1427,-1785
tree,1,1597,-1785
tree,1,1747,-1885
tree,1,1627,-2025
tree,1,1507,-1925
tree,1,1397,-2015
tree,1,1304,-2216
tree,1,1145,-2067
tree,1,1245,-1947
tree,1,1115,-1937
tree,1,1115,-2227
tree,1,1225,-2367
tree,1,1395,-2317
tree,1,1535,-2177
tree,1,1695,-2307
tree,1,1522,-2371
tree,1,1862,-2371
tree,1,1972,-2271
tree,1,1732,-2161
tree,1,1862,-2031
tree,1,1972,-1871
tree,1,1842,-1781
tree,1,2132,-1781
tree,1,2292,-1781
tree,1,2352,-1931
tree,1,2182,-1941
tree,1,2022,-2091
tree,1,2132,-2231
tree,1,2112,-2361
tree,1,2262,-2361
tree,1,2262,-2131
tree,2,405,-1813
tree,2,516,-2070
tree,2,441,-2324
tree,2,774,-2247
tree,2,859,-1896
tree,2,682,-1919
tree,2,692,-1802
tree,2,894,-2082
tree,2,654,-2180
tree,2,697,-2383
tree,2,906,-2381
tree,2,387,-2147
tree,2,509,-1929
tree,2,364,-1995
tree,2,778,-2062
tree,1,380,-2616
tree,1,726,-2672
tree,1,529,-2819
tree,1,735,-3042
tree,1,879,-2765
tree,1,738,-2869
tree,1,546,-2621
tree,1,371,-2838
tree,1,569,-3023
tree,1,786,-3234
tree,1,881,-2983
tree,1,893,-2599
name,Twisted Confusion
ground,190,190,190
laps,2
